User_Distance(m),Channel_Gain(dB),Interference_Level(dB),Power_Allocation,Target_SINR,RIS_Element_1(rad),RIS_Element_2(rad),RIS_Element_3(rad),RIS_Element_4(rad),RIS_Element_5(rad),RIS_Element_6(rad),RIS_Element_7(rad),RIS_Element_8(rad)
106.1810178,-100.3716768,-92.38294316,"[0.9044710429398323, 0.09552895706016774]","[13, 12]",5.269216148,4.11407738,1.435241959,1.721666793,1.978205322,0.733901854,1.716312513,1.316448112
192.607146,-91.45247632,-92.53021201,"[0.32156274993196665, 0.6784372500680335]","[8, 7]",2.860914911,5.707881453,0.656469191,4.525576837,4.318326475,0.601641374,5.796693379,3.571816188
159.7990913,-83.1763541,-85.93745419,"[0.5689594149168639, 0.027017416113335687, 0.40402316896980034]","[10, 10, 6]",2.28535485,4.753472112,1.617074867,4.357450819,0.249512876,5.274156249,2.815940481,4.000459565
139.7987726,-86.69437784,-92.504538,"[0.1811419596665002, 0.5878750538919866, 0.23098298644151333]","[11, 13, 6]",1.390078219,4.254179603,4.852128755,2.973286143,3.881292733,2.86718034,5.617741755,3.12820432
73.40279607,-84.8359713,-92.28050274,"[0.053936162302975335, 0.24962261504300037, 0.6964412226540242]","[7, 12, 9]",5.289240112,5.035043478,2.579277862,1.445663499,2.551489289,5.191276876,1.430257404,3.295130743
73.39917805,-88.53041583,-87.40601738,"[0.47974554479409054, 0.5202544552059095]","[12, 12]",5.064855243,2.220964478,4.035122155,1.543348697,0.686623006,4.991263291,0.6218382,1.705139594
58.71254183,-87.69308589,-90.50260158,"[0.6260096245387077, 0.3739903754612922]","[9, 13]",5.372810956,2.176930734,6.113824243,6.155852377,1.68562795,0.257473764,4.430043268,2.833631767
179.9264219,-83.77010871,-87.23289443,"[0.5340364058743262, 0.4637883239994189, 0.002175270126255074]","[15, 6, 7]",0.633048789,4.445496981,0.195877731,5.46760706,0.871179534,0.799924126,1.103781601,6.033531475
140.1672518,-98.75829978,-94.34633842,"[0.14519840567638992, 0.7064565905079844, 0.14834500381562565]","[7, 15, 9]",4.35531154,5.035165857,2.4984143,2.113115188,1.473306466,3.020000629,3.467242191,3.969558415
156.2108867,-92.76437591,-90.12428806,"[0.23772844052966483, 0.7622715594703352]","[12, 8]",1.615523207,5.960569383,1.066624102,6.06737784,0.093343771,3.023001878,2.094611902,2.821925636
53.08767414,-99.46976395,-94.663864,"[0.23681841293654163, 0.43882469093413834, 0.3243568961293199]","[13, 15, 11]",3.585591298,2.736887398,2.606559635,4.603836998,4.309487734,5.235597876,1.570538598,3.829780577
195.4864778,-80.3082998,-94.37346797,"[0.12442826115603911, 0.7243561751504308, 0.15121556369353015]","[11, 9, 14]",3.676887277,2.323131181,3.053989606,1.971551352,0.891234635,1.343352625,0.662961793,4.291852719
174.8663961,-81.39851651,-85.93562547,"[0.6266095181723605, 0.32251884125357316, 0.050871640574066276]","[7, 10, 7]",4.151472648,5.972835987,4.584704688,0.327013649,5.555876285,5.420347909,2.785463726,3.681086111
81.8508666,-104.0143297,-93.60754629,"[0.703077798277788, 0.060575560084526275, 0.2363466416376858]","[6, 11, 14]",6.132881037,3.344566958,5.68830481,0.521747903,1.200414294,2.769344985,3.674135386,5.128510846
77.27374508,-87.36062069,-89.67579318,"[0.2577775047241955, 0.7422224952758044]","[9, 6]",6.209434002,2.443226009,0.297921228,5.033909018,3.797436054,1.247481574,3.109098888,4.664072828
77.51067648,-81.86879206,-90.88904397,"[0.3995722028333948, 0.6004277971666052]","[11, 8]",4.840640021,3.139195065,1.917719451,6.118205084,4.16803021,2.565031983,1.76220241,4.593655521
95.63633644,-100.4856164,-91.52656674,"[0.002716802551391018, 0.5996127338424188, 0.3976704636061902]","[14, 6, 6]",1.521683467,1.07888568,3.329044506,1.822044525,3.951527566,0.741030549,4.115116325,1.780004582
128.7134647,-90.80136924,-86.00166654,"[0.7497885769087009, 0.250211423091299]","[9, 8]",0.001526402,0.797562773,5.866078425,5.449749925,1.467808838,4.890654914,3.823768093,6.100374218
114.7917528,-82.11279256,-94.78176603,"[0.16145732523431475, 0.8385426747656853]","[15, 11]",2.347433591,4.281743308,0.399206718,2.489695508,6.055844968,3.386516711,1.808800266,0.755684748
93.68437103,-104.1513505,-88.36210314,"[0.3481895106199609, 0.21944291983516961, 0.4323675695448696]","[7, 8, 9]",4.42039893,4.051750017,2.349526231,5.97494073,0.139504388,1.908353242,5.787250263,2.016496831
141.7779342,-87.56449332,-85.36605566,"[0.05078552711167381, 0.9492144728883262]","[9, 14]",1.584951299,3.35660583,5.176099051,0.648090212,5.925173867,4.995590245,1.138828943,4.47367796
70.9240791,-97.56627482,-89.39831817,"[0.01011316112113805, 0.9898868388788619]","[6, 14]",2.41876699,2.52769201,4.9215568,6.049355359,0.795802319,2.642897724,3.021845246,2.364436879
93.82169728,-81.89009512,-85.63177538,"[0.18122444027926246, 0.8187755597207376]","[13, 12]",2.281984566,0.328413724,4.307366188,2.740816016,1.223925559,5.127289712,5.042637901,3.056088731
104.9542765,-80.72354387,-94.47742121,"[0.9707967550492042, 0.029203244950795848]","[9, 6]",1.875220809,4.009254839,1.810513266,1.48288156,4.589958941,0.253370954,0.595447865,0.042651355
118.4104976,-81.39333777,-90.81206681,"[0.16565245504211745, 0.8343475449578825]","[7, 13]",0.960970382,0.433477009,6.256810806,1.81464656,0.937878584,1.514224147,5.881850437,3.268263071
167.7763942,-93.14464458,-92.39842209,"[0.31763714809711074, 0.6823628519028891]","[15, 6]",2.292219703,5.487680376,2.481797064,2.104920925,1.3023945,2.373767453,1.989786493,4.255626286
79.95106732,-83.44893373,-87.69179035,"[0.6599250640494205, 0.34007493595057947]","[12, 15]",1.819501795,3.626652966,0.414012683,1.201905219,2.559802817,5.887025786,2.370344134,4.172500761
127.1351658,-83.88626504,-85.1870291,"[0.2695941384193847, 0.28547004383034175, 0.4449358177502736]","[13, 8, 15]",1.602760288,0.798175498,0.367796306,1.918969607,0.990613447,1.09333989,4.779991709,0.099513535
138.8621853,-97.02248817,-92.43469938,"[0.39548545862999834, 0.3899173314989833, 0.21459720987101832]","[8, 15, 6]",3.504824386,2.384226171,3.182747517,3.536366677,1.968947294,1.854223654,4.608099724,5.47439477
56.96756191,-84.27711315,-88.45825399,"[0.12558367570871246, 0.8744163242912876]","[12, 6]",1.210026083,0.613356762,5.64101742,2.198458036,3.464029329,2.259076203,0.790439391,3.702879933
141.1317278,-104.0748091,-93.01902367,"[0.12047592783479608, 0.5916878206789937, 0.2878362514862102]","[13, 10, 7]",3.299557284,1.275446149,2.839176942,5.007368848,3.709756616,0.608949525,3.443320619,4.415434957
75.57861855,-90.09325304,-89.34669745,"[0.6706973658114443, 0.32930263418855577]","[11, 15]",4.980702392,3.952862327,0.959179536,4.462150234,4.255864335,0.153478632,2.587086895,2.0919881
59.75773895,-99.24977907,-90.36067513,"[0.13325061890463258, 0.23894217579011393, 0.6278072053052535]","[7, 7, 11]",4.206040047,1.35802136,3.712557785,5.737842282,5.012740143,5.789689709,6.148134314,0.067042385
192.3328306,-101.9858279,-85.2799467,"[0.6067623935785222, 0.022909107619316284, 0.37032849880216157]","[12, 11, 13]",3.912798838,2.593946438,5.4026251,1.582198436,6.163990072,3.856040897,4.985942546,0.537837853
194.844805,-103.07617,-88.91472727,"[0.12997809757043471, 0.1819051674007175, 0.688116735028848]","[11, 7, 14]",1.152699886,4.765190815,0.138145392,5.132595759,0.087644269,4.128799435,2.293952755,3.842135474
171.2596022,-87.5927806,-91.50493628,"[0.9559910909558653, 0.04400890904413465]","[10, 6]",4.37329431,2.151835265,0.678348068,0.437597893,3.700394164,3.271374069,4.663386475,3.202762667
95.69206538,-96.50312591,-93.85904215,"[0.5188959697316935, 0.24949806878365988, 0.2316059614846467]","[9, 8, 8]",2.654305181,2.501255509,0.16617079,2.108368079,6.132515513,5.488711562,2.069543431,3.693227453
64.6508171,-86.88083071,-93.48753171,"[0.3414301648766686, 0.37087468641246635, 0.28769514871086505]","[13, 15, 12]",5.323722462,2.772608429,0.112832586,0.468163039,3.206892048,6.091167241,4.35556401,0.445579572
152.634954,-103.3660915,-92.7468307,"[0.5027354477107256, 0.4972645522892744]","[9, 13]",1.189789473,4.846366241,5.286921937,3.881089548,4.049030191,0.178049452,5.205809154,4.952879206
116.0228741,-97.11774155,-92.49033339,"[0.8785534782219865, 0.12144652177801347]","[12, 10]",1.627565811,4.452747154,1.349971306,0.253401875,1.263778169,1.122358334,2.122133251,2.629195732
68.30573523,-91.51271769,-86.49383942,"[0.5604753133501945, 0.26203153792137684, 0.1774931487284286]","[6, 6, 10]",3.195244091,2.995532946,1.700698707,0.183284716,3.801965622,2.4865381,1.876612511,5.447151223
124.2765365,-85.23192088,-89.38777212,"[0.3822647245265724, 0.6177352754734275]","[8, 12]",4.69192658,5.389499891,3.110068623,0.82266532,4.374488298,1.294799746,2.772327774,0.408412002
55.15827817,-97.03118743,-89.76609089,"[0.1646890709706579, 0.3534180368065799, 0.48189289222276216]","[12, 8, 14]",5.185565628,0.791308385,5.674328987,5.430121022,2.919059599,4.677003364,3.892088186,5.045873076
186.3980603,-89.35271559,-93.85231128,"[0.8436316898137269, 0.1563683101862732]","[10, 12]",2.713111465,4.937380322,2.905701878,5.912262413,3.055966038,2.906722612,4.932751986,5.162124882
88.81699724,-82.85055629,-86.39860307,"[0.7248595077173425, 0.2751404922826576]","[12, 6]",3.483957856,1.12970298,2.939011644,6.082578927,4.731151785,5.096684954,0.206248692,2.939647701
149.3783427,-89.6034203,-87.77185697,"[0.001569595866670436, 0.9984304041333296]","[11, 7]",4.062840406,5.215249162,0.309595496,5.356031482,3.445704708,1.239760241,1.993373315,1.771415617
96.75666141,-99.17601313,-94.32331638,"[0.6228309967854572, 0.30881044499507543, 0.06835855821946744]","[15, 8, 15]",3.335485684,0.324750705,0.996112062,5.106300989,0.833175446,1.466472011,2.848611528,3.249166366
128.0102032,-104.3899805,-87.92164903,"[0.5020489011904093, 0.43510765712334687, 0.06284344168624371]","[15, 12, 12]",4.797906146,2.810672531,4.962865782,3.885184431,0.710626621,0.982259397,2.745963882,2.493729603
132.0065419,-83.24752815,-89.56461783,"[0.6501989010292247, 0.34980109897077544]","[13, 13]",4.67182643,3.648879064,2.438712072,1.072918504,1.425259548,3.615979544,2.660544477,3.235384958
77.72816833,-104.4682647,-94.18274654,"[0.6022812944211708, 0.3977187055788291]","[6, 8]",1.072397954,4.165162825,5.35665889,1.620681719,3.088274962,6.12941898,2.093819608,3.738786452
195.4376942,-83.13245818,-90.41699358,"[0.4960450642364358, 0.5039549357635642]","[6, 7]",0.566716298,3.80770456,0.563173041,6.027053993,4.49664106,4.952154001,4.424018174,3.705376815
166.2699235,-91.77657165,-90.15303713,"[0.14858869166173533, 0.5720938733114725, 0.2793174350267922]","[6, 10, 12]",2.826885376,5.393319008,6.011975808,3.135536749,5.853007334,3.665188769,3.382767613,2.85559923
190.9248412,-81.52330754,-93.3422546,"[0.8241547334403897, 0.15042098988910219, 0.02542427667050792]","[15, 6, 8]",1.314993788,0.023371318,1.517428376,3.202685143,2.387358789,2.817915795,6.161594485,2.200826213
184.2241026,-85.03041911,-85.54301853,"[0.32893324749952096, 0.671066752500479]","[6, 6]",2.841149201,0.838902951,0.30132732,4.872041669,3.585708141,4.77964926,0.941615736,3.592906133
139.6849968,-80.05164724,-86.50024629,"[0.6877735478689918, 0.03126498086732568, 0.2809614712636826]","[10, 15, 14]",1.593682668,1.432954657,0.072420082,0.818954919,1.943188854,0.734370911,6.194331268,1.939196123
188.2811353,-96.23220461,-88.30977663,"[0.3328968169323648, 0.1986830681562373, 0.46842011491139784]","[14, 11, 14]",0.818849507,1.250871063,3.692648289,0.402397328,5.418833455,6.041280657,1.550359768,2.828031978
63.27387531,-85.82029278,-90.37704439,"[0.2884184786811174, 0.7115815213188825]","[12, 8]",0.139074857,4.02570107,2.600774126,1.696827386,1.299595894,4.109348192,2.615168734,1.128832605
79.39742936,-94.95172716,-90.88234458,"[0.4740975407668764, 0.5259024592331236]","[8, 10]",4.329800056,3.550453866,5.395195639,0.738122842,4.93648885,4.231830779,0.722635028,4.365687401
56.78409334,-93.00310949,-88.49026533,"[0.11056392572521868, 0.36662872147478026, 0.522807352800001]","[7, 13, 11]",2.774323438,5.93751452,0.889770358,4.039041316,2.400051409,6.01184388,2.073293414,6.045592369
98.79954961,-89.31236342,-89.54568131,"[0.10456676425541037, 0.165409792458617, 0.7300234432859726]","[9, 14, 6]",5.664202654,1.698867971,5.048801886,6.255565693,1.587528463,2.744351893,3.268391961,1.853106979
108.3015935,-83.15807215,-94.37726894,"[0.4539256426010205, 0.5460743573989795]","[11, 9]",0.095911816,1.383112833,1.771461689,2.787219126,1.075068578,5.486818943,4.429087272,0.535330389
90.70235477,-80.39791327,-89.87497351,"[0.8181270680452221, 0.012538417026778544, 0.1693345149279994]","[8, 11, 13]",4.084651337,4.107044768,6.008114829,0.018980695,1.557805526,5.829485791,5.856770122,4.527578003
174.3106264,-85.79316465,-86.93596383,"[0.7232849000643778, 0.2767150999356222]","[9, 15]",4.811432848,0.574804377,3.228777095,1.455078848,1.138626549,5.091285783,0.848469636,2.94462508
103.512999,-94.55583045,-90.40760122,"[0.9932377788258718, 0.006762221174128294]","[7, 6]",5.897261005,1.167617241,6.144913911,6.247295663,3.491045543,1.069038365,1.986145587,2.667167129
92.14017645,-94.46607494,-94.48043422,"[0.00325353172796644, 0.9967464682720335]","[13, 14]",1.943541422,1.763285352,6.108699424,0.96361963,4.607635141,0.002577925,3.745926189,5.755039625
131.4044125,-86.56044246,-87.13721801,"[0.3774264139530115, 0.22738970445306161, 0.39518388159392676]","[12, 15, 9]",1.809143269,1.165694082,4.094624912,4.477406692,4.323023248,2.006327129,1.584634428,6.006214959
71.13863375,-99.03057136,-92.98636218,"[0.05966745200376007, 0.9403325479962399]","[12, 14]",5.801261904,2.873405004,5.316792867,2.842032229,2.666514843,0.984970649,2.679188269,3.376690212
170.3295471,-102.2381472,-92.41379165,"[0.6146442820719026, 0.3853557179280974]","[6, 12]",0.141398859,2.790444309,4.909405911,4.27285539,3.99080906,5.714905304,0.113298459,3.500033209
